name,date,long
DIRECTV 6 (TEMPO 2),8-Mar-97,-104.5
INTELSAT 801,1-Mar-97,66.3
INTELSAT 26 (JCSAT 4),17-Feb-97,5
NAHUEL 1A,30-Jan-97,-12.5
AMC-2 (GE-2),30-Jan-97,58.4
INMARSAT 3-F3,18-Dec-96,53.1
EUTE 48A (HB2),21-Nov-96,112.3
MEASAT 2,13-Nov-96,171.3
ARABSAT 2B,13-Nov-96,-132.8
EXPRESS 2,26-Sep-96,95.2
AMC-1 (GE-1),8-Sep-96,-130.9
ECHOSTAR 2,11-Sep-96,-146.4
INMARSAT 3-F2,6-Sep-96,170.2
CHINASAT 7,18-Aug-96,-27.8
TELECOM 2D,8-Aug-96,-103.4
ITALSAT 2,8-Aug-96,145.8
TURKSAT 1C,9-Jul-96,16.1
ARABSAT 2A,9-Jul-96,66.2
APSTAR 1A,3-Jul-96,-21.9
INTELSAT 709,15-Jun-96,-156.4
GORIZONT 32,25-May-96,-121.5
GALAXY 9,24-May-96,171.8
INTELSAT 24 (AMOS 1),16-May-96,-77.7
PALAPA C2,16-May-96,36.9
MSAT M1,20-Apr-96,-5.2
ASTRA 1F,8-Apr-96,-26.7
INMARSAT 3-F1,3-Apr-96,-69
